Age,Gender,Attrition,Department,Environment Satisfaction,Marital status,MonthlyIncome,YearsInCurrentRole,HourlyRate,Job responsibilities,JobSatisfaction,leftOrganizationInPast12mnths,Reasons for leaving,NumInstitutesWorked,PercentSalaryHike,RelationshipSatisfaction,DistanceFromHome,BusinessTravel,Education,EducationField,WorkLifeBalance,YearsAtOrganization,JobInvolvement,PerformanceRating,JobLevel
29,Female,Yes,Applied science,3,Married,17861,2,51,3,3,No,Issues with management,2,13,3,3,Travel_Rarely,2,Communications,4,10,4,3,2
52,Female,No,B.E.,3,Married,4230,4,46,3,3,Yes,Issues with management,1,14,2,20,Travel_Rarely,4,Computer Science,3,1,3,3,1
42,Male,No,CSA,3,Married,3780,0,42,2,3,No,"Better job opportunities, Lack of career growth, Compensation and benefits",1,16,4,5,Travel_Rarely,3,Information Technology,3,2,3,3,3
59,Female,Yes,B.E.,2,Single,2768,3,62,4,3,No,Better job opportunities,1,12,4,8,Non-Travel,3,Marketing,3,5,3,3,2
50,Male,No,Applied science,4,Single,9071,2,94,5,4,Yes,Issues with management,1,14,3,12,Travel_Rarely,2,Business Administration,2,3,2,3,3
33,Male,Yes,B.E.,3,Single,10648,8,33,4,2,Yes,"Better job opportunities, Lack of career growth, Work-related stress",1,13,3,10,Travel_Frequently,3,Communications,3,2,4,4,1
43,Female,No,CSA,4,Married,13610,6,56,4,3,No,"Better job opportunities, Work-related stress",1,14,3,5,Travel_Frequently,4,Computer Science,3,1,2,4,2
33,Male,Yes,B.E.,1,Married,3408,3,38,3,4,Yes,Lack of career growth,0,19,1,11,Travel_Rarely,2,Information Technology,3,5,3,3,3
52,Male,No,CSA,1,Single,2983,2,57,2,2,Yes,"Better job opportunities, Lack of career growth",4,12,4,5,Travel_Rarely,4,Marketing,3,1,3,3,2
32,Male,No,Applied science,3,Married,7632,7,72,4,3,No,"Better job opportunities, Lack of career growth",4,13,1,5,Travel_Rarely,1,Business Administration,3,1,2,3,2
32,Male,No,CSA,4,Single,9824,0,66,1,3,Yes,"Better job opportunities, Lack of career growth",1,12,4,6,Travel_Rarely,2,Communications,3,1,3,3,2
39,Male,No,Applied science,3,Single,9950,2,43,3,1,Yes,"Better job opportunities, Work-related stress",9,15,3,2,Travel_Frequently,4,Computer Science,3,9,1,4,1
32,Male,No,CSA,3,Single,2093,2,97,5,3,No,Better job opportunities,1,23,1,10,Travel_Rarely,5,Information Technology,3,12,4,3,1
41,Male,No,B.E.,3,Married,9980,3,32,4,4,Yes,Compensation and benefits,5,12,1,14,Travel_Rarely,2,Marketing,2,22,3,4,2
40,Male,No,Applied science,1,Married,3894,2,99,5,3,No,"Lack of career growth, Compensation and benefits",2,20,1,2,Travel_Rarely,3,Business Administration,2,9,1,3,1
45,Female,No,CSA,3,Divorced,4051,7,37,5,4,No,"Work-related stress, Compensation and benefits",7,21,3,3,Travel_Rarely,2,Communications,3,1,3,3,2
31,Female,No,Applied science,2,Single,16835,9,83,4,2,No,Compensation and benefits,1,21,1,8,Travel_Frequently,5,Computer Science,2,9,3,3,1
33,Male,Yes,CSA,3,Single,6230,3,56,1,4,No,Compensation and benefits,1,19,3,7,Travel_Rarely,4,Information Technology,3,1,3,3,1
34,Female,No,B.E.,4,Single,4717,9,85,4,3,Yes,"Lack of career growth, Work-related stress, Compensation and benefits",3,13,2,10,Travel_Frequently,4,Marketing,2,1,4,3,4
37,Female,Yes,CSA,3,Divorced,13237,6,75,5,3,No,"Issues with management, Compensation and benefits",3,13,1,2,Travel_Rarely,4,Business Administration,3,2,2,4,1
45,Male,Yes,B.E.,1,Married,3755,3,48,4,3,Yes,Work-related stress,1,21,4,16,Travel_Frequently,3,Communications,2,4,3,3,1
37,Male,Yes,Applied science,1,Married,6582,5,77,4,4,No,"Better job opportunities, Work-related stress",1,13,2,15,Travel_Rarely,5,Computer Science,4,4,3,3,2
39,Male,Yes,CSA,3,Married,7406,9,56,3,1,No,Work-related stress,1,19,4,2,Travel_Rarely,2,Information Technology,3,2,4,3,3
29,Male,Yes,Applied science,3,Married,4805,7,61,5,2,Yes,"Better job opportunities, Lack of career growth",5,12,1,10,Travel_Rarely,3,Marketing,3,15,3,4,2
42,Female,Yes,CSA,4,Single,2741,7,58,3,3,No,Lack of career growth,7,22,3,12,Travel_Rarely,3,Business Administration,2,9,2,3,2
29,Female,No,B.E.,4,Married,4262,2,34,4,4,Yes,Issues with management,1,15,4,7,Travel_Rarely,3,Communications,2,2,2,3,3
25,Male,Yes,Applied science,1,Divorced,16184,1,95,5,3,No,"Lack of career growth, Issues with management",2,22,4,3,Travel_Rarely,3,Computer Science,3,7,3,3,2
42,Female,No,B.E.,4,Married,11557,4,44,5,4,No,Better job opportunities,1,18,3,11,Travel_Rarely,3,Information Technology,3,7,3,3,2
40,Male,No,B.E.,1,Divorced,1878,0,69,5,2,No,Better job opportunities,2,22,4,14,Travel_Rarely,3,Marketing,3,9,3,4,1
51,Male,Yes,CSA,3,Divorced,10932,0,58,5,1,No,"Better job opportunities, Lack of career growth",4,11,2,4,Travel_Rarely,3,Business Administration,3,10,3,3,3
31,Male,No,Applied science,3,Married,6811,7,62,5,3,Yes,Lack of career growth,0,12,2,21,Travel_Rarely,1,Communications,2,27,3,3,1
32,Male,Yes,B.E.,2,Single,4306,0,45,3,3,Yes,Compensation and benefits,7,11,3,18,Travel_Rarely,3,Computer Science,2,21,3,4,1
38,Female,No,CSA,4,Married,4859,4,80,5,3,No,"Better job opportunities, Lack of career growth",0,13,4,5,Travel_Rarely,4,Information Technology,2,17,2,3,1
32,Male,No,CSA,4,Single,5337,7,74,4,4,Yes,"Lack of career growth, Compensation and benefits",1,14,4,2,Non-Travel,3,Marketing,3,5,3,3,1
46,Female,Yes,Applied science,3,Divorced,2340,0,66,2,4,No,"Better job opportunities, Lack of career growth, Work-related stress, Issues with management, Compensation and benefits",1,13,2,12,Travel_Rarely,3,Business Administration,3,6,3,3,3
28,Male,No,B.E.,1,Divorced,7491,5,59,4,4,No,Lack of career growth,3,17,3,12,Travel_Rarely,4,Communications,3,1,1,3,1
29,Male,No,CSA,1,Married,10527,2,86,5,3,No,"Better job opportunities, Lack of career growth, Work-related stress, Issues with management, Compensation and benefits",1,13,2,3,Travel_Rarely,4,Computer Science,3,3,4,3,5
31,Male,No,B.E.,2,Married,16595,16,91,4,1,No,"Better job opportunities, Lack of career growth, Compensation and benefits",0,17,2,25,Travel_Rarely,4,Information Technology,3,1,4,3,1
25,Male,Yes,CSA,2,Married,8834,5,69,4,2,Yes,Work-related stress,4,11,4,14,Travel_Rarely,4,Marketing,3,4,3,3,3
45,Male,No,Applied science,3,Married,5577,9,78,5,1,No,"Better job opportunities, Issues with management",4,23,2,5,Travel_Rarely,2,Business Administration,4,5,3,4,2
36,Male,No,B.E.,4,Married,4707,2,60,5,3,No,"Better job opportunities, Lack of career growth, Work-related stress",8,17,3,3,Travel_Frequently,1,Communications,4,1,2,4,1
55,Male,No,CSA,4,Married,2400,2,38,3,4,No,Better job opportunities,1,17,3,16,Travel_Rarely,3,Computer Science,3,10,3,3,1
47,Male,No,CSA,1,Divorced,9824,0,76,5,3,No,"Better job opportunities, Lack of career growth, Work-related stress",1,12,4,24,Travel_Rarely,2,Information Technology,2,1,1,4,1
28,Male,No,Applied science,4,Divorced,6447,5,65,4,2,No,Work-related stress,3,23,4,13,Travel_Frequently,3,Marketing,3,11,3,3,1
37,Male,No,B.E.,3,Divorced,19502,9,58,5,3,Yes,"Lack of career growth, Work-related stress, Issues with management",7,14,2,3,Travel_Rarely,2,Business Administration,3,15,2,3,2
21,Male,No,CSA,4,Married,2725,5,89,3,4,Yes,Issues with management,1,14,1,5,Travel_Rarely,3,Communications,3,0,4,3,2
37,Female,Yes,B.E.,1,Married,6272,3,66,5,2,Yes,Work-related stress,4,13,1,10,Travel_Rarely,1,Computer Science,3,5,3,3,1
35,Male,No,Applied science,2,Married,2127,0,94,4,2,No,Work-related stress,3,22,2,28,Non-Travel,4,Information Technology,2,4,3,3,1
38,Female,Yes,CSA,1,Single,18200,5,99,4,2,Yes,"Better job opportunities, Compensation and benefits",3,12,3,32,Travel_Rarely,3,Marketing,3,10,3,4,1
26,Male,Yes,CSA,3,Single,2096,4,40,4,3,Yes,"Better job opportunities, Compensation and benefits",1,18,1,20,Non-Travel,2,Business Administration,3,6,4,4,3
50,Female,No,B.E.,1,Single,2886,3,55,4,3,Yes,"Better job opportunities, Issues with management",1,14,1,23,Travel_Rarely,4,Communications,3,1,2,3,1
53,Female,No,Applied science,3,Single,2033,0,74,4,1,No,Better job opportunities,1,12,4,8,Travel_Rarely,4,Computer Science,3,13,3,4,1
42,Female,Yes,B.E.,2,Single,3622,5,83,4,4,No,"Work-related stress, ",0,15,3,30,Travel_Frequently,2,Information Technology,2,5,1,3,1
29,Female,No,CSA,2,Single,4233,1,46,5,1,Yes,"Lack of career growth, Work-related stress, Compensation and benefits",1,11,1,5,Travel_Rarely,3,Marketing,1,6,4,4,1
55,Female,No,Applied science,2,Single,3681,2,54,5,4,No,Issues with management,2,13,4,20,Non-Travel,4,Business Administration,2,0,3,3,1
26,Female,No,CSA,1,Single,5460,7,66,4,4,No,Work-related stress,1,23,3,20,Non-Travel,4,Communications,2,4,3,3,2
37,Female,No,B.E.,4,Single,2187,3,66,4,3,Yes,"Better job opportunities, Lack of career growth",9,19,2,30,Travel_Frequently,2,Computer Science,3,11,4,3,1
44,Male,No,CSA,4,Single,9602,0,75,4,3,Yes,Work-related stress,0,16,4,30,Travel_Rarely,3,Information Technology,1,9,2,3,5
38,Female,No,Applied science,4,Single,2836,0,83,4,2,Yes,"Work-related stress, Compensation and benefits",1,22,2,40,Travel_Rarely,4,Marketing,2,22,3,3,5
26,Male,No,CSA,1,Divorced,4089,2,81,5,4,Yes,Work-related stress,0,22,4,20,Travel_Rarely,3,Business Administration,4,10,3,3,2
28,Female,Yes,Applied science,4,Single,16627,0,50,2,4,Yes,"Work-related stress, Issues with management",4,12,4,1,Travel_Frequently,4,Communications,2,11,2,3,4
49,Female,Yes,CSA,3,Married,2619,0,43,4,1,Yes,Issues with management,4,13,4,12,Travel_Frequently,1,Computer Science,4,10,3,3,5
36,Male,Yes,B.E.,3,Married,5679,7,72,3,3,No,"Work-related stress, Lack of carrer growth",1,16,4,5,Non-Travel,3,Information Technology,3,11,3,3,1
31,Male,No,B.E.,4,Single,15402,2,40,5,1,No,"Work-related stress, Lack of carrer growth",1,12,3,20,Travel_Rarely,4,Computer Science,3,4,3,3,2
26,Female,No,CSA,4,Single,5985,2,50,5,3,Yes,"Better job opportunities, Issues with management, Work-related stress, Compensation and benefits, Lack of carrer growth",1,21,2,5,Travel_Rarely,2,Information Technology,3,3,3,3,1
37,Male,No,Applied science,2,Single,2579,2,31,5,3,No,"Better job opportunities, Issues with management, Work-related stress",5,15,3,15,Travel_Rarely,4,Marketing,3,5,4,4,4
42,Female,No,CSA,3,Single,3041,3,85,5,1,Yes,Better job opportunities,9,13,4,10,Travel_Rarely,3,Business Administration,4,37,3,3,1
18,Female,No,B.E.,3,Single,3447,2,49,2,3,Yes,"Better job opportunities, Lack of carrer growth",3,12,3,0,Travel_Frequently,3,Communications,3,3,4,3,2
35,Female,No,B.E.,3,Single,19513,2,35,3,4,Yes,Better job opportunities,1,22,3,10,Travel_Rarely,1,Computer Science,2,3,2,3,2
36,Female,Yes,Applied science,3,Single,2773,2,69,4,3,No,"Better job opportunities, Issues with management, Work-related stress, Compensation and benefits, Lack of carrer growth",1,13,4,10,Travel_Frequently,3,Information Technology,3,1,3,3,2
51,Female,No,B.E.,4,Single,7104,0,39,4,3,No,"Better job opportunities, Lack of carrer growth",1,18,4,8,Travel_Frequently,4,Marketing,3,1,3,3,2
41,Male,Yes,CSA,4,Single,6322,4,92,5,4,No,Better job opportunities,3,14,2,5,Non-Travel,3,Business Administration,3,16,2,3,2
18,Male,No,Applied science,4,Single,2083,0,71,4,3,Yes,"Better job opportunities, Work-related stress, Lack of carrer growth",1,14,1,3,Travel_Rarely,3,Communications,2,1,2,3,2
28,Female,No,B.E.,2,Single,8381,7,34,4,1,No,Better job opportunities,2,21,3,6,Travel_Rarely,1,Computer Science,3,3,2,3,1
31,Female,No,CSA,2,Single,2691,9,42,3,4,No,"Issues with management, Work-related stress, Compensation and benefits",0,19,2,5,Travel_Rarely,4,Information Technology,3,8,2,3,2
39,Female,Yes,CSA,3,Married,4286,1,100,4,1,Yes,Lack of carrer growth,6,11,1,6,Travel_Rarely,3,Marketing,3,6,3,3,2
36,Male,Yes,B.E.,2,Single,2659,2,71,4,4,No,Better job opportunities,2,11,3,30,Travel_Rarely,3,Business Administration,3,2,2,4,3
32,Female,No,Applied science,4,Single,9434,7,36,4,3,Yes,Issues with management,2,15,3,17,Travel_Rarely,2,Communications,3,0,2,3,1
38,Male,No,B.E.,1,Single,5561,0,62,5,3,No,"Better job opportunities, Issues with management, Work-related stress, Compensation and benefits, Lack of carrer growth",0,20,3,4,Travel_Rarely,2,Computer Science,3,13,3,3,1
58,Male,No,CSA,4,Single,6646,11,82,4,4,No,Issues with management,5,24,4,5,Travel_Rarely,2,Information Technology,3,9,3,3,2
31,Female,Yes,Applied science,3,Single,7725,11,30,4,4,No,"Better job opportunities, Issues with management",1,12,3,10,Travel_Frequently,3,Marketing,3,5,3,3,3
31,Female,Yes,CSA,1,Single,10725,7,88,5,2,Yes,"Better job opportunities, Compensation and benefits, Lack of carrer growth",1,12,4,18,Travel_Frequently,2,Business Administration,4,5,2,3,3
45,Female,No,B.E.,1,Single,8847,2,48,4,2,No,"Better job opportunities, Work-related stress",0,15,1,2,Travel_Rarely,4,Communications,2,1,3,4,3
31,Male,No,Applied science,3,Single,2045,2,54,5,4,Yes,Better job opportunities,9,12,2,2,Travel_Rarely,3,Computer Science,4,5,3,3,2
33,Female,No,B.E.,4,Single,1009,0,32,4,3,Yes,Compensation and benefits,7,12,2,8,Travel_Rarely,4,Information Technology,3,11,3,3,3
39,Male,No,CSA,3,Single,3348,8,70,4,1,No,Better job opportunities,4,14,4,0,Travel_Rarely,3,Marketing,3,9,2,3,1
43,Female,No,B.E.,3,Single,1281,0,41,4,3,No,Work-related stress,1,22,1,4,Travel_Frequently,4,Business Administration,2,1,3,3,3
49,Male,No,Applied science,3,Single,2819,2,58,4,1,Yes,"Better job opportunities, Issues with management, Work-related stress, Compensation and benefits, Lack of carrer growth",1,12,4,50,Travel_Rarely,1,Communications,2,25,3,3,2
52,Female,Yes,CSA,3,Single,4851,2,57,4,2,No,Shift timings,1,25,1,14,Travel_Rarely,1,Computer Science,2,10,3,3,1
27,Male,No,B.E.,3,Single,4028,7,46,3,4,No,Work-related stress,0,13,2,60,Travel_Rarely,4,Information Technology,2,7,4,3,3
32,Female,No,CSA,3,Single,2720,7,76,4,4,Yes,Issues with management,1,18,4,14,Travel_Rarely,3,Marketing,3,5,4,3,2
27,Male,Yes,Applied science,4,Single,8120,2,56,3,2,Yes,Need a break,4,13,1,2,Travel_Rarely,3,Business Administration,2,20,2,3,2
31,Male,No,CSA,4,Single,4647,5,71,3,4,Yes,"Better job opportunities, Issues with management",4,18,4,0,Travel_Rarely,3,Communications,3,7,3,4,1
32,Female,Yes,CSA,1,Married,4680,0,80,2,4,Yes,"Better job opportunities, Work-related stress, Lack of carrer growth",3,19,3,3,Travel_Rarely,1,Computer Science,3,5,3,3,3
28,Female,No,B.E.,1,Single,3221,8,74,3,3,No,"Better job opportunities, Lack of carrer growth",3,12,4,8,Travel_Frequently,1,Information Technology,3,40,2,3,3
30,Male,No,B.E.,4,Single,8621,7,46,3,2,No,"Issues with management, Work-related stress",1,19,4,6,Travel_Rarely,2,Marketing,3,0,2,3,2
31,Male,Yes,CSA,3,Single,4577,2,65,2,3,Yes,Issues with management,6,14,1,13,Travel_Rarely,4,Business Administration,3,2,3,3,1
39,Male,No,Applied science,3,Married,4553,7,80,4,3,Yes,Better job opportunities,2,14,1,7,Travel_Frequently,4,Communications,3,15,4,3,1
39,Male,No,B.E.,4,Single,5396,7,55,5,4,Yes,Better job opportunities,4,12,1,10,Travel_Rarely,3,Computer Science,3,3,2,3,3
33,Male,No,CSA,2,Single,6796,3,50,4,3,No,Better job opportunities,2,11,3,12,Travel_Rarely,3,Information Technology,4,2,2,3,3
47,Female,No,B.E.,4,Single,7625,7,33,4,4,Yes,Better job opportunities,0,11,2,40,Travel_Frequently,3,Marketing,3,2,2,3,1
43,Female,Yes,Applied science,3,Single,7412,7,68,3,1,No,Better job opportunities,7,13,2,17,Travel_Rarely,3,Business Administration,1,9,2,3,1
27,Male,Yes,B.E.,3,Single,11159,7,39,2,4,Yes,"Better job opportunities, Compensation and benefits, Lack of carrer growth",5,23,4,14,Travel_Rarely,5,Communications,4,8,4,3,5
54,Female,No,CSA,4,Single,4960,7,42,5,1,Yes,"Better job opportunities, Issues with management, Work-related stress, Compensation and benefits, Lack of carrer growth",3,20,4,18,Travel_Rarely,3,Computer Science,2,3,3,3,1
43,Female,No,B.E.,3,Single,10475,13,48,4,1,Yes,"Better job opportunities, Compensation and benefits",1,15,1,2,Travel_Frequently,2,Information Technology,3,4,2,3,5
45,Female,No,Applied science,4,Married,14814,1,59,4,3,Yes,"Work-related stress, ",0,14,1,5,Non-Travel,3,Marketing,2,15,3,3,1
40,Female,No,B.E.,2,Single,19141,6,73,4,4,Yes,"Better job opportunities, Issues with management",5,18,3,1,Travel_Rarely,1,Business Administration,4,2,2,4,4
29,Female,No,CSA,2,Single,5405,2,84,4,1,No,Better job opportunities,0,19,4,21,Travel_Rarely,3,Communications,3,11,3,4,1
29,Female,Yes,B.E.,2,Married,8793,7,32,4,1,Yes,"Better job opportunities, Issues with management, Work-related stress, Compensation and benefits",4,22,3,2,Travel_Rarely,4,Computer Science,3,5,3,3,5
30,Male,No,CSA,4,Married,19189,7,59,3,3,Yes,Compensation and benefits,2,13,3,22,Travel_Frequently,1,Information Technology,2,6,2,3,1
27,Male,No,Applied science,2,Single,3875,2,54,4,2,No,Work-related stress,1,20,1,10,Travel_Rarely,3,Marketing,3,3,3,3,1
37,Male,Yes,CSA,4,Single,2216,7,67,3,2,No,"Work-related stress, Lack of carrer growth",1,14,3,0,Non-Travel,5,Business Administration,3,5,2,3,1
38,Male,No,Applied science,3,Single,11713,7,63,3,1,No,Better job opportunities,1,17,2,10,Travel_Rarely,2,Communications,3,8,3,3,2
31,Male,No,CSA,3,Single,7861,0,81,2,3,No,"Better job opportunities, Compensation and benefits, Lack of carrer growth",2,14,3,10,Travel_Rarely,3,Computer Science,3,3,2,3,2
29,Male,No,B.E.,4,Single,3708,2,49,3,3,Yes,Better job opportunities,8,13,1,20,Non-Travel,3,Information Technology,1,5,4,3,2
35,Male,No,Applied science,3,Single,13770,2,49,3,3,Yes,"Work-related stress, Lack of carrer growth",1,13,4,30,Travel_Rarely,1,Marketing,1,7,3,3,5
23,Male,No,CSA,3,Single,5304,7,99,2,4,No,Lack of carrer growth,1,21,3,50,Travel_Rarely,4,Business Administration,3,5,2,3,3
41,Male,No,Applied science,4,Single,2642,0,99,4,3,Yes,"Better job opportunities, Compensation and benefits",2,14,4,15,Travel_Rarely,3,Communications,3,1,3,3,1
47,Female,No,CSA,2,Single,2759,2,57,5,3,Yes,Better job opportunities,4,11,1,20,Travel_Rarely,4,Computer Science,3,20,2,3,2
42,Female,No,B.E.,1,Single,6804,2,47,4,4,Yes,Work-related stress,7,13,2,25,Travel_Rarely,4,Information Technology,2,10,3,3,1
29,Female,No,CSA,4,Single,6142,1,96,4,3,Yes,Better job opportunities,6,20,1,45,Travel_Rarely,1,Marketing,2,7,3,3,2
42,Male,Yes,B.E.,3,Married,2500,3,37,3,1,Yes,Work-related stress,1,18,3,9,Travel_Frequently,3,Business Administration,3,17,3,3,3
32,Male,No,Applied science,3,Married,6389,3,44,2,2,Yes,Work-related stress,6,14,3,14,Travel_Frequently,3,Communications,3,9,3,4,3
48,Male,No,CSA,1,Single,11103,7,81,4,4,No,Better job opportunities,1,13,2,0,Non-Travel,2,Computer Science,1,10,3,3,1
37,Female,No,Applied science,3,Single,2342,2,86,1,4,Yes,Work-related stress,3,17,1,15,Travel_Rarely,3,Information Technology,1,1,3,3,2
30,Female,No,CSA,4,Single,6811,6,55,3,1,No,Work-related stress,1,20,2,12,Travel_Rarely,3,Marketing,1,1,2,3,2
26,Female,Yes,B.E.,3,Single,2297,2,83,5,2,No,Compensation and benefits,3,11,2,15,Travel_Rarely,3,Business Administration,2,12,3,3,2
42,Male,No,Applied science,1,Divorced,2450,2,86,4,4,Yes,Better job opportunities,4,18,2,12,Travel_Rarely,3,Communications,3,4,3,3,1
21,Male,No,B.E.,1,Single,5093,0,61,5,1,No,"Better job opportunities, Compensation and benefits, Lack of carrer growth",2,24,3,11,Travel_Rarely,4,Computer Science,3,2,2,3,5
36,Male,No,B.E.,4,Single,5309,8,80,5,4,Yes,"Work-related stress, Lack of carrer growth",4,18,2,15,Travel_Rarely,5,Information Technology,3,2,3,3,1
36,Male,No,CSA,1,Single,3057,0,92,4,3,Yes,"Better job opportunities, Issues with management, Work-related stress, Compensation and benefits, Lack of carrer growth",3,11,1,3,Travel_Rarely,3,Marketing,4,5,3,3,1
57,Male,No,Applied science,4,Married,5121,0,32,1,1,No,Better job opportunities,0,16,3,40,Travel_Rarely,1,Business Administration,3,5,2,4,1
40,Female,Yes,B.E.,4,Married,16856,6,31,4,1,No,Compensation and benefits,0,15,3,1,Travel_Rarely,2,Communications,2,1,3,3,2
21,Male,Yes,CSA,1,Single,2686,9,63,5,4,Yes,Work-related stress,4,15,3,0,Travel_Rarely,3,Computer Science,4,5,2,3,2
33,Male,No,CSA,4,Single,6180,5,32,4,4,No,Better job opportunities,1,12,2,2,Travel_Rarely,2,Information Technology,2,9,3,3,4
37,Male,No,Applied science,3,Single,6632,7,46,4,3,No,"Better job opportunities, Issues with management, Work-related stress, Compensation and benefits, Lack of carrer growth",4,12,2,10,Travel_Rarely,3,Marketing,3,10,3,3,1
46,Male,No,B.E.,3,Single,3505,2,79,3,3,Yes,"Better job opportunities, Issues with management, Work-related stress, Compensation and benefits, Lack of carrer growth",4,22,3,2,Travel_Rarely,3,Business Administration,4,8,2,3,2
41,Male,No,CSA,1,Married,6397,4,77,5,3,Yes,Work-related stress,0,20,3,9,Travel_Rarely,3,Communications,3,5,3,4,2
50,Male,No,B.E.,4,Married,6274,5,60,3,4,Yes,Work-related stress,1,16,4,9,Travel_Frequently,2,Computer Science,4,5,1,3,2
40,Female,Yes,CSA,3,Married,19859,2,78,4,1,Yes,Compensation and benefits,1,21,1,9,Travel_Rarely,2,Information Technology,2,0,3,3,4
